* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\TaqMan_Std.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL	THOLDFAIL
B10	103H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	23		N	N	N	Y
B11	103H	C	UNKNOWN	VIC	NFQ-MGB	25.0017	25.2263	0.3176				true	0.0123	true	3	24		N	N	Y	N
B11	103H	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
B12	103H	C	UNKNOWN	VIC	NFQ-MGB	25.4509	25.2263	0.3176				true	0.0123	true	3	24		N	N	Y	N
B12	103H	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
C1	104	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	34		N	N	N	Y
C2	104	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	32		N	N	N	Y
C3	104	C	UNKNOWN	VIC	NFQ-MGB	36.6881	36.6881					true	0.0123	true	3	34		N	N	N	N
C3	104	D	UNKNOWN	FAM	NFQ-MGB	34.6899	34.6899					true	0.1933	true	3	29		N	N	N	N
C4	104	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.6881					true	0.0123	true	3	39		N	Y	Y	N
C4	104	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	34.6899					true	0.1933	true	3	39		N	Y	Y	N
C5	104A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	26		N	N	N	Y
C6	104A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	27		N	N	N	Y
C7	104A	C	UNKNOWN	VIC	NFQ-MGB	32.3946	32.4371	0.0601				true	0.0123	true	3	30		N	N	N	N
C7	104A	D	UNKNOWN	FAM	NFQ-MGB	31.4711	31.593	0.1724				true	0.1933	true	3	26		N	N	N	N
C8	104A	C	UNKNOWN	VIC	NFQ-MGB	32.4796	32.4371	0.0601				true	0.0123	true	3	30		N	N	N	N
C8	104A	D	UNKNOWN	FAM	NFQ-MGB	31.7149	31.593	0.1724				true	0.1933	true	3	26		N	N	N	N
C9	104H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	28		N	N	N	Y
C10	104H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	28		N	N	N	Y
C11	104H	C	UNKNOWN	VIC	NFQ-MGB	32.6356	32.767	0.1859				true	0.0123	true	3	31		N	N	N	N
C11	104H	D	UNKNOWN	FAM	NFQ-MGB	31.7565	31.8998	0.2026				true	0.1933	true	3	26		N	N	N	N
C12	104H	C	UNKNOWN	VIC	NFQ-MGB	32.8985	32.767	0.1859				true	0.0123	true	3	31		N	N	N	N
C12	104H	D	UNKNOWN	FAM	NFQ-MGB	32.0431	31.8998	0.2026				true	0.1933	true	3	26		N	N	N	N
D1	106	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	33		N	N	N	Y
D2	106	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	30		N	N	N	Y
D3	106	C	UNKNOWN	VIC	NFQ-MGB	31.2164	31.0572	0.2252				true	0.0123	true	3	30		N	N	N	N
D3	106	D	UNKNOWN	FAM	NFQ-MGB	34.6941	34.6268	0.0951				true	0.1933	true	3	29		N	N	N	N
D4	106	C	UNKNOWN	VIC	NFQ-MGB	30.8979	31.0572	0.2252				true	0.0123	true	3	29		N	N	N	N
D4	106	D	UNKNOWN	FAM	NFQ-MGB	34.5596	34.6268	0.0951				true	0.1933	true	3	29		N	N	N	N
D5	106A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	25		N	N	N	Y
D6	106A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	24		N	N	N	Y
D7	106A	C	UNKNOWN	VIC	NFQ-MGB	31.4327	31.3973	0.05				true	0.0123	true	3	30		N	N	N	N
D7	106A	D	UNKNOWN	FAM	NFQ-MGB	31.6651	31.736	0.1002				true	0.1933	true	3	26		N	N	N	N
D8	106A	C	UNKNOWN	VIC	NFQ-MGB	31.3619	31.3973	0.05				true	0.0123	true	3	30		N	N	N	N
D8	106A	D	UNKNOWN	FAM	NFQ-MGB	31.8069	31.736	0.1002				true	0.1933	true	3	26		N	N	N	N
D9	106H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	25		N	N	N	Y
D10	106H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	25		N	N	N	Y
D11	106H	C	UNKNOWN	VIC	NFQ-MGB	32.0086	32.333	0.4587				true	0.0123	true	3	31		Y	N	N	N
D11	106H	D	UNKNOWN	FAM	NFQ-MGB	31.1572	31.6491	0.6957				true	0.1933	true	3	26		Y	N	N	N
D12	106H	C	UNKNOWN	VIC	NFQ-MGB	32.6573	32.333	0.4587				true	0.0123	true	3	31		Y	N	N	N
D12	106H	D	UNKNOWN	FAM	NFQ-MGB	32.141	31.6491	0.6957				true	0.1933	true	3	27		Y	N	N	N
E1	257	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	33		N	N	N	Y
E2	257	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	32		N	N	N	Y
E3	257	C	UNKNOWN	VIC	NFQ-MGB	28.1421	28.1523	0.0144				true	0.0123	true	3	26		N	N	Y	N
E3	257	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
E4	257	C	UNKNOWN	VIC	NFQ-MGB	28.1625	28.1523	0.0144				true	0.0123	true	3	27		N	N	Y	N
E4	257	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
E5	257A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	28		N	N	N	Y
E6	257A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	27		N	N	N	Y
E7	257A	C	UNKNOWN	VIC	NFQ-MGB	25.6097	25.5618	0.0677				true	0.0123	true	3	24		N	N	Y	N
E7	257A	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
E8	257A	C	UNKNOWN	VIC	NFQ-MGB	25.5139	25.5618	0.0677				true	0.0123	true	3	24		N	N	Y	N
E8	257A	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
E9	257H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	26		N	N	N	Y
E10	257H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	25		N	N	N	Y
E11	257H	C	UNKNOWN	VIC	NFQ-MGB	26.0131	26.0005	0.0177				true	0.0123	true	3	24		N	N	Y	N
E11	257H	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
E12	257H	C	UNKNOWN	VIC	NFQ-MGB	25.988	26.0005	0.0177				true	0.0123	true	3	24		N	N	N	N
E12	257H	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	35		N	N	N	N
F1	261	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	32		N	N	N	Y
F2	261	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	32		N	N	N	Y
F3	261	C	UNKNOWN	VIC	NFQ-MGB	28.1756	28.381	0.2904				true	0.0123	true	3	27		N	N	Y	N
F3	261	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
F4	261	C	UNKNOWN	VIC	NFQ-MGB	28.5863	28.381	0.2904				true	0.0123	true	3	27		N	N	Y	N
F4	261	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
F5	261A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	24		N	N	N	Y
F6	261A	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	24		N	N	N	Y
F7	261A	C	UNKNOWN	VIC	NFQ-MGB	25.1314	25.0844	0.0664				true	0.0123	true	3	24		N	N	Y	N
F7	261A	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
F8	261A	C	UNKNOWN	VIC	NFQ-MGB	25.0375	25.0844	0.0664				true	0.0123	true	3	23		N	N	Y	N
F8	261A	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
F9	261H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	28		N	N	N	Y
F10	261H	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	28		N	N	N	Y
F11	261H	C	UNKNOWN	VIC	NFQ-MGB	26.7744	26.7015	0.103				true	0.0123	true	3	25		N	N	N	N
F11	261H	D	UNKNOWN	FAM	NFQ-MGB	34.1319	34.2152	0.1179				true	0.1933	true	3	28		N	N	N	N
F12	261H	C	UNKNOWN	VIC	NFQ-MGB	26.6287	26.7015	0.103				true	0.0123	true	3	25		N	N	N	N
F12	261H	D	UNKNOWN	FAM	NFQ-MGB	34.2985	34.2152	0.1179				true	0.1933	true	3	29		N	N	N	N
G1	NTC	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	39		N	N	Y	Y
G2	NTC	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	39		N	N	Y	Y
G3	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.0123	true	3	39		N	Y	Y	N
G3	NTC	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	Y	Y	N
G4	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.0123	true	3	39		N	N	Y	N
G4	NTC	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.1933	true	3	39		N	N	Y	N
G5	POS	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	32		N	N	N	Y
G6	POS	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.0001	true	3	33		N	N	N	Y
G7	POS	C	UNKNOWN	VIC	NFQ-MGB	31.1753	31.1741	0.0016				true	0.0123	true	3	29		N	N	N	N
G7	POS	D	UNKNOWN	FAM	NFQ-MGB	34.708	34.8396	0.1861				true	0.1933	true	3	29		N	N	N	N
G8	POS	C	UNKNOWN	VIC	NFQ-MGB	31.173	31.1741	0.0016				true	0.0123	true	3	29		N	N	N	N
G8	POS	D	UNKNOWN	FAM	NFQ-MGB	34.9712	34.8396	0.1861				true	0.1933	true	3	30		N	N	N	N
G9																		N	N	N	N
G10																		N	N	N	N
G11																		N	N	N	N
G12																		N	N	N	N
H1																		N	N	N	N
H2																		N	N	N	N
H3																		N	N	N	N
H4																		N	N	N	N
H5																		N	N	N	N
H6																		N	N	N	N
H7																		N	N	N	N
H8																		N	N	N	N
H9																		N	N	N	N
H10																		N	N	N	N
H11																		N	N	N	N
H12																		N	N	N	N


[Raw Data]
Well	Cycle	BLUE	GREEN	YELLOW	RED
A1	1	-12028	-7853	-5011	-4169
A2	1	-11762	-7590	-4767	-3953
A3	1	-12093	-7826	-5022	-4261
A4	1	-12692	-8224	-5242	-4421
A5	1	-11732	-7668	-4907	-4133
A6	1	-11948	-7764	-4978	-4212
A7	1	-11147	-7143	-4498	-3772
A8	1	-11502	-7338	-4593	-3828
A9	1	-11511	-7400	-4687	-3972
A10	1	-12145	-7812	-4909	-4144
A11	1	-12500	-8006	-5108	-4420
A12	1	-11513	-7349	-4658	-3970
B1	1	64317	30081	20061	30032
B2	1	67424	31613	20515	30539
B3	1	6715	8018	13544	29023
B4	1	6420	7924	13571	29219
B5	1	87535	41775	27057	38555
B6	1	81143	39802	26334	38134
B7	1	9556	10860	16710	34105
B8	1	9257	10856	16999	34905
B9	1	75923	37328	24773	36016
B10	1	70625	34930	23356	33947
B11	1	8880	10090	15539	31519
B12	1	4613	7337	13237	28482
C1	1	71449	34115	21917	31758
C2	1	78150	37025	23975	34695
C3	1	8171	9171	14597	30404
C4	1	11473	12087	17979	36594
C5	1	81792	39424	25847	37125
C6	1	91877	44329	29035	41784
C7	1	9985	11225	17130	34869
C8	1	12831	13630	20039	40023
C9	1	83707	41118	27069	38710
C10	1	74753	36841	24410	35684
C11	1	6495	8665	14433	30259
C12	1	6374	8542	14156	29717
D1	1	76181	36388	23629	34120
D2	1	78625	36842	23783	34493
D3	1	10356	10862	16315	33337
D4	1	12587	12789	18416	36786
D5	1	93692	45034	29374	41738
D6	1	89606	43416	28369	40571
D7	1	12202	12745	18479	36717
D8	1	9201	10892	16984	34798
D9	1	82663	40526	26800	38566
D10	1	78468	38720	25745	37424
D11	1	7763	9662	15694	32700
D12	1	6739	8785	14352	29896
E1	1	71018	33653	21984	31925
E2	1	80334	37898	24364	34970
E3	1	9873	10535	15941	32516
E4	1	11918	12381	18130	36169
E5	1	90588	43379	28239	39968
E6	1	91242	44322	29060	41390
E7	1	12384	12811	18293	36043
E8	1	9120	10649	16709	34475
E9	1	76912	37739	25007	36458
E10	1	81677	40264	26731	38714
E11	1	7399	9300	14935	31000
E12	1	5799	8120	13662	28828
F1	1	72269	34253	22442	32503
F2	1	79133	37010	23954	34680
F3	1	10029	10587	16020	32858
F4	1	11443	11802	17435	35160
F5	1	85220	40932	26769	38213
F6	1	84919	41558	27307	39259
F7	1	11925	12798	18906	37815
F8	1	11225	12335	18415	37112
F9	1	82068	40500	26983	38942
F10	1	81241	40319	26744	38447
F11	1	8168	9825	15845	32937
F12	1	7287	9314	15034	31064
G1	1	79513	38137	24799	35400
G2	1	82785	39521	25495	36558
G3	1	11187	11423	16821	33980
G4	1	11320	11688	17258	34733
G5	1	85516	41603	27358	39044
G6	1	79872	39470	26159	37827
G7	1	11673	12833	19148	38456
G8	1	9407	10996	17105	34999
G9	1	-12259	-7908	-5012	-4242
G10	1	-13102	-8532	-5457	-4636
G11	1	-12721	-8297	-5398	-4676
G12	1	-11132	-7078	-4443	-3793
H1	1	-10126	-6647	-4298	-3684
H2	1	-11610	-7573	-4862	-4149
H3	1	-10084	-6490	-4079	-3395
H4	1	-12438	-8085	-5107	-4279
H5	1	-11396	-7281	-4520	-3692
H6	1	-11178	-7197	-4463	-3647
H7	1	-12162	-7700	-4774	-3965
H8	1	-12520	-8092	-5098	-4281
H9	1	-13144	-8473	-5355	-4450
H10	1	-13059	-8438	-5332	-4417
H11	1	-11876	-7597	-4768	-4094
H12	1	-11451	-7347	-4662	-4015
A1	2	-12233	-8013	-5101	-4270
A2	2	-11955	-7690	-4839	-4024
A3	2	-12368	-7990	-5125	-4357
A4	2	-12930	-8351	-5300	-4506
A5	2	-11971	-7788	-4998	-4216
A6	2	-12155	-7908	-5074	-4290
A7	2	-11399	-7318	-4596	-3863
A8	2	-11734	-7465	-4689	-3908
A9	2	-11734	-7553	-4780	-4046
A10	2	-12381	-7974	-5004	-4245
A11	2	-12648	-8106	-5190	-4463
A12	2	-11698	-7513	-4773	-4044
B1	2	64727	30211	20077	29986
B2	2	66436	31158	20103	29929
B3	2	6384	7772	13215	28299
B4	2	6525	8035	13572	29132
B5	2	86863	41557	26809	38112
B6	2	80855	39721	26173	37763
B7	2	9567	10918	16678	33876
B8	2	9204	10822	16860	34531
B9	2	75931	37404	24756	35844
B10	2	69801	34586	23071	33502
B11	2	8512	9850	15134	30821
B12	2	5038	7645	13444	28720
C1	2	72366	34482	22047	31842
C2	2	79092	37590	24279	34969
C3	2	8446	9497	14879	30769
C4	2	11640	12230	17950	36413
C5	2	83003	40141	26205	37395
C6	2	92689	44814	29222	41772
C7	2	9960	11223	17048	34575
C8	2	12995	13777	20029	39801
C9	2	84562	41669	27374	39024
C10	2	74952	37064	24497	35622
C11	2	6657	8785	14463	30142
C12	2	7056	9042	14590	30235
D1	2	77735	37137	23997	34573
D2	2	79116	37139	23899	34521
D3	2	10718	11184	16561	33627
D4	2	12736	12908	18397	36610
D5	2	93992	45182	29332	41481
D6	2	89762	43607	28389	40379
D7	2	12243	12789	18380	36417
D8	2	9473	11106	17087	34777
D9	2	83089	40923	26985	38683
D10	2	77671	38411	25478	36948
D11	2	8348	10127	16010	33027
D12	2	7604	9441	14922	30656
E1	2	72959	34504	22455	32454
E2	2	81202	38389	24539	35060
E3	2	10019	10675	15956	32428
E4	2	12218	12649	18248	36214
E5	2	91672	43955	28472	40071
E6	2	91604	44532	29073	41217
E7	2	12520	12949	18300	35857
E8	2	9661	11103	17020	34833
E9	2	77419	38070	25170	36546
E10	2	81316	40223	26654	38473
E11	2	7446	9391	14905	30812
E12	2	6719	8844	14286	29718
F1	2	74041	35081	22923	33076
F2	2	79495	37226	24040	34683
F3	2	10142	10697	16013	32725
F4	2	11775	12165	17749	35584
F5	2	84738	40714	26544	37764
F6	2	85420	41881	27434	39224
F7	2	12252	13027	18985	37751
F8	2	11509	12594	18520	37091
F9	2	81694	40362	26811	38554
F10	2	80679	40134	26553	38083
F11	2	8213	9902	15762	32664
F12	2	8144	9991	15653	31935
G1	2	81632	39108	25317	35963
G2	2	83271	39778	25558	36523
G3	2	11193	11448	16761	33797
G4	2	12047	12275	17673	35266
G5	2	86118	42005	27568	39166
G6	2	80360	39771	26230	37781
G7	2	11214	12511	18740	37693
G8	2	9621	11184	17200	34989
G9	2	-12583	-8127	-5175	-4369
G10	2	-13288	-8625	-5528	-4711
G11	2	-12937	-8426	-5484	-4758
G12	2	-11302	-7205	-4540	-3852
H1	2	-10359	-6809	-4379	-3758
H2	2	-11834	-7729	-4932	-4235
H3	2	-10341	-6677	-4198	-3475
H4	2	-12731	-8274	-5234	-4379
H5	2	-11652	-7424	-4601	-3788
H6	2	-11455	-7371	-4582	-3756
H7	2	-12429	-7877	-4903	-4064
H8	2	-12795	-8250	-5220	-4371
H9	2	-13414	-8638	-5462	-4543
H10	2	-13312	-8604	-5448	-4535
H11	2	-12142	-7746	-4889	-4208
H12	2	-11704	-7538	-4778	-4127
A1	3	-12387	-8091	-5149	-4304
A2	3	-12034	-7753	-4901	-4050
A3	3	-12499	-8069	-5198	-4387
A4	3	-13048	-8424	-5401	-4560
A5	3	-12088	-7877	-5060	-4274
A6	3	-12270	-7972	-5107	-4349
A7	3	-11553	-7409	-4687	-3918
A8	3	-11849	-7583	-4757	-3965
A9	3	-11922	-7708	-4887	-4138
A10	3	-12501	-8053	-5081	-4303
A11	3	-12819	-8230	-5273	-4555
A12	3	-11796	-7586	-4804	-4084
B1	3	65628	30625	20236	30094
B2	3	66398	31128	19968	29631
B3	3	6693	8033	13354	28491
B4	3	6647	8110	13574	29047
B5	3	88330	42370	27256	38514
B6	3	81249	39948	26247	37642
B7	3	9580	10904	16467	33439
B8	3	9237	10876	16778	34281
B9	3	75973	37444	24692	35620
B10	3	70181	34808	23122	33409
B11	3	8794	10098	15304	30962
B12	3	5353	7911	13568	28819
C1	3	73804	35220	22442	32197
C2	3	80402	38292	24624	35256
C3	3	8404	9451	14690	30323
C4	3	11949	12485	18085	36457
C5	3	83414	40275	26105	37065
C6	3	94277	45603	29549	42013
C7	3	10444	11618	17272	34903
C8	3	13255	13997	20101	39741
C9	3	84100	41413	27051	38490
C10	3	75616	37429	24599	35650
C11	3	6558	8720	14266	29760
C12	3	7358	9289	14702	30313
D1	3	79212	37869	24377	34912
D2	3	79768	37490	23997	34514
D3	3	10540	11033	16251	33056
D4	3	13044	13139	18473	36564
D5	3	94984	45791	29603	41668
D6	3	90727	44077	28559	40400
D7	3	12441	12909	18356	36181
D8	3	9606	11210	17063	34598
D9	3	83652	41180	27052	38554
D10	3	77928	38608	25491	36839
D11	3	8231	10038	15829	32589
D12	3	7838	9599	14949	30605
E1	3	74320	35183	22758	32757
E2	3	82021	38765	24705	35116
E3	3	10183	10796	15963	32279
E4	3	12689	12971	18405	36335
E5	3	92845	44549	28719	40229
E6	3	93486	45537	29580	41631
E7	3	12710	13086	18262	35691
E8	3	9849	11254	17040	34693
E9	3	77771	38278	25225	36471
E10	3	82039	40671	26857	38642
E11	3	7432	9367	14763	30503
E12	3	6667	8764	14069	29252
F1	3	75762	35860	23365	33524
F2	3	80034	37479	24055	34603
F3	3	10274	10809	16028	32606
F4	3	11908	12247	17689	35378
F5	3	85310	41018	26634	37720
F6	3	86279	42318	27539	39204
F7	3	12590	13290	19119	37849
F8	3	11677	12723	18507	36958
F9	3	81864	40478	26795	38370
F10	3	80695	40170	26460	37897
F11	3	8393	10047	15778	32533
F12	3	8363	10153	15653	31816
G1	3	83268	39865	25679	36391
G2	3	84241	40275	25775	36672
G3	3	11582	11780	16985	34084
G4	3	12430	12561	17808	35370
G5	3	86849	42372	27669	39162
G6	3	80923	40096	26319	37717
G7	3	11331	12614	18692	37498
G8	3	9772	11293	17177	34851
G9	3	-12763	-8232	-5248	-4446
G10	3	-13451	-8774	-5617	-4778
G11	3	-13056	-8551	-5557	-4824
G12	3	-11376	-7258	-4568	-3874
H1	3	-10500	-6900	-4428	-3820
H2	3	-11950	-7815	-5004	-4285
H3	3	-10521	-6790	-4268	-3546
H4	3	-12844	-8378	-5291	-4451
H5	3	-11736	-7528	-4686	-3827
H6	3	-11594	-7478	-4644	-3813
H7	3	-12550	-7963	-4968	-4130
H8	3	-12954	-8371	-5293	-4453
H9	3	-13545	-8722	-5529	-4617
H10	3	-13440	-8719	-5526	-4582
H11	3	-12269	-7860	-4958	-4251
H12	3	-11868	-7625	-4873	-4197
A1	4	-12435	-8140	-5193	-4348
A2	4	-12077	-7791	-4917	-4094
A3	4	-12589	-8134	-5237	-4443
A4	4	-13153	-8506	-5425	-4601
A5	4	-12172	-7931	-5103	-4326
A6	4	-12354	-8016	-5160	-4377
A7	4	-11659	-7478	-4717	-3961
A8	4	-11912	-7629	-4783	-3998
A9	4	-12026	-7737	-4913	-4167
A10	4	-12579	-8103	-5098	-4319
A11	4	-12946	-8324	-5320	-4583
A12	4	-11882	-7635	-4858	-4118
B1	4	66274	30909	20342	30140
B2	4	66568	31218	19876	29415
B3	4	6943	8221	13443	28497
B4	4	6979	8360	13675	29083
B5	4	89687	43063	27540	38700
B6	4	81902	40294	26298	37577
B7	4	9871	11188	16687	33668
B8	4	9483	11084	16833	34291
B9	4	76161	37521	24591	35359
B10	4	71087	35266	23306	33505
B11	4	9084	10347	15450	31145
B12	4	5639	8105	13661	28870
C1	4	74403	35508	22507	32134
C2	4	81843	39082	25017	35625
C3	4	8693	9661	14818	30438
C4	4	12325	12788	18225	36549
C5	4	84300	40671	26226	37019
C6	4	95908	46373	29851	42182
C7	4	10659	11749	17225	34612
C8	4	13594	14253	20182	39760
C9	4	85419	42089	27405	38726
C10	4	76403	37848	24736	35637
C11	4	6661	8795	14238	29605
C12	4	7726	9562	14841	30424
D1	4	80232	38361	24605	35024
D2	4	81415	38329	24412	34866
D3	4	10648	11060	16195	32815
D4	4	13483	13472	18674	36709
D5	4	96147	46382	29823	41743
D6	4	91167	44253	28472	40107
D7	4	12891	13263	18592	36485
D8	4	9789	11369	17083	34497
D9	4	84723	41760	27308	38751
D10	4	78798	39060	25665	36939
D11	4	8630	10330	15998	32745
D12	4	8126	9852	15060	30671
E1	4	75038	35526	22862	32763
E2	4	83650	39580	25111	35445
E3	4	10390	10960	16005	32283
E4	4	13037	13255	18540	36426
E5	4	94739	45585	29241	40696
E6	4	94703	46126	29768	41689
E7	4	13095	13403	18451	35855
E8	4	10222	11528	17177	34802
E9	4	78685	38774	25422	36593
E10	4	82699	41025	26975	38638
E11	4	7750	9632	14902	30618
E12	4	7109	9148	14335	29569
F1	4	76636	36269	23528	33596
F2	4	81088	37904	24193	34581
F3	4	10678	11095	16178	32730
F4	4	12233	12484	17774	35393
F5	4	86567	41661	26870	37876
F6	4	87763	43093	27921	39472
F7	4	12953	13589	19286	37993
F8	4	12200	13117	18773	37205
F9	4	82637	40854	26918	38375
F10	4	81383	40525	26587	37891
F11	4	8698	10241	15852	32588
F12	4	8928	10624	16038	32337
G1	4	84290	40353	25945	36576
G2	4	84825	40580	25835	36609
G3	4	11854	11999	17073	34101
G4	4	12793	12864	17975	35480
G5	4	87517	42721	27730	39055
G6	4	81839	40556	26487	37760
G7	4	11553	12795	18717	37426
G8	4	10166	11599	17369	35003
G9	4	-12863	-8317	-5304	-4497
G10	4	-13493	-8792	-5649	-4818
G11	4	-13129	-8570	-5595	-4836
G12	4	-11509	-7327	-4634	-3925
H1	4	-10595	-6956	-4476	-3846
H2	4	-12031	-7847	-5053	-4319
H3	4	-10608	-6829	-4309	-3592
H4	4	-12950	-8436	-5324	-4506
H5	4	-11872	-7572	-4742	-3889
H6	4	-11689	-7543	-4697	-3846
H7	4	-12613	-8018	-5002	-4168
H8	4	-13022	-8405	-5338	-4466
H9	4	-13635	-8793	-5582	-4665
